dex,name,generation,types,abilities,hp,attack,defense,sp_atk,sp_def,speed,base_total,is_legendary,height,weight,base_experience
1,bulbasaur,1,"grass, poison",overgrow; chlorophyll,45,49,49,65,65,45,318,False,7,69,64
2,ivysaur,1,"grass, poison",overgrow; chlorophyll,60,62,63,80,80,60,405,False,10,130,142
3,venusaur,1,"grass, poison",overgrow; chlorophyll,80,82,83,100,100,80,525,False,20,1000,236
4,charmander,1,fire,blaze; solar-power,39,52,43,60,50,65,309,False,6,85,62
5,charmeleon,1,fire,blaze; solar-power,58,64,58,80,65,80,405,False,11,190,142
6,charizard,1,"fire, flying",blaze; solar-power,78,84,78,109,85,100,534,False,17,905,240
7,squirtle,1,water,torrent; rain-dish,44,48,65,50,64,43,314,False,5,90,63
8,wartortle,1,water,torrent; rain-dish,59,63,80,65,80,58,405,False,10,225,142
9,blastoise,1,water,torrent; rain-dish,79,83,100,85,105,78,530,False,16,855,239
10,caterpie,1,bug,shield-dust; run-away,45,30,35,20,20,45,195,False,3,29,39
11,metapod,1,bug,shed-skin,50,20,55,25,25,30,205,False,7,99,72
12,butterfree,1,"bug, flying",compound-eyes; tinted-lens,60,45,50,90,80,70,395,False,11,320,178
13,weedle,1,"bug, poison",shield-dust; run-away,40,35,30,20,20,50,195,False,3,32,39
14,kakuna,1,"bug, poison",shed-skin,45,25,50,25,25,35,205,False,6,100,72
15,beedrill,1,"bug, poison",swarm; sniper,65,90,40,45,80,75,395,False,10,295,178
16,pidgey,1,"normal, flying",keen-eye; tangled-feet; big-pecks,40,45,40,35,35,56,251,False,3,18,50
17,pidgeotto,1,"normal, flying",keen-eye; tangled-feet; big-pecks,63,60,55,50,50,71,349,False,11,300,122
18,pidgeot,1,"normal, flying",keen-eye; tangled-feet; big-pecks,83,80,75,70,70,101,479,False,15,395,216
19,rattata,1,normal,run-away; guts; hustle,30,56,35,25,35,72,253,False,3,35,51
20,raticate,1,normal,run-away; guts; hustle,55,81,60,50,70,97,413,False,7,185,145
21,spearow,1,"normal, flying",keen-eye; sniper,40,60,30,31,31,70,262,False,3,20,52
22,fearow,1,"normal, flying",keen-eye; sniper,65,90,65,61,61,100,442,False,12,380,155
23,ekans,1,poison,intimidate; shed-skin; unnerve,35,60,44,40,54,55,288,False,20,69,58
24,arbok,1,poison,intimidate; shed-skin; unnerve,60,95,69,65,79,80,448,False,35,650,157
25,pikachu,1,electric,static; lightning-rod,35,55,40,50,50,90,320,False,4,60,112
26,raichu,1,electric,static; lightning-rod,60,90,55,90,80,110,485,False,8,300,218
27,sandshrew,1,ground,sand-veil; sand-rush,50,75,85,20,30,40,300,False,6,120,60
28,sandslash,1,ground,sand-veil; sand-rush,75,100,110,45,55,65,450,False,10,295,158
29,nidoran-f,1,poison,poison-point; rivalry; hustle,55,47,52,40,40,41,275,False,4,70,55
30,nidorina,1,poison,poison-point; rivalry; hustle,70,62,67,55,55,56,365,False,8,200,128
31,nidoqueen,1,"poison, ground",poison-point; rivalry; sheer-force,90,92,87,75,85,76,505,False,13,600,227
32,nidoran-m,1,poison,poison-point; rivalry; hustle,46,57,40,40,40,50,273,False,5,90,55
33,nidorino,1,poison,poison-point; rivalry; hustle,61,72,57,55,55,65,365,False,9,195,128
34,nidoking,1,"poison, ground",poison-point; rivalry; sheer-force,81,102,77,85,75,85,505,False,14,620,227
35,clefairy,1,fairy,cute-charm; magic-guard; friend-guard,70,45,48,60,65,35,323,False,6,75,113
36,clefable,1,fairy,cute-charm; magic-guard; unaware,95,70,73,95,90,60,483,False,13,400,217
37,vulpix,1,fire,flash-fire; drought,38,41,40,50,65,65,299,False,6,99,60
38,ninetales,1,fire,flash-fire; drought,73,76,75,81,100,100,505,False,11,199,177
39,jigglypuff,1,"normal, fairy",cute-charm; competitive; friend-guard,115,45,20,45,25,20,270,False,5,55,95
40,wigglytuff,1,"normal, fairy",cute-charm; competitive; frisk,140,70,45,85,50,45,435,False,10,120,196
41,zubat,1,"poison, flying",inner-focus; infiltrator,40,45,35,30,40,55,245,False,8,75,49
42,golbat,1,"poison, flying",inner-focus; infiltrator,75,80,70,65,75,90,455,False,16,550,159
43,oddish,1,"grass, poison",chlorophyll; run-away,45,50,55,75,65,30,320,False,5,54,64
44,gloom,1,"grass, poison",chlorophyll; stench,60,65,70,85,75,40,395,False,8,86,138
45,vileplume,1,"grass, poison",chlorophyll; effect-spore,75,80,85,110,90,50,490,False,12,186,221
46,paras,1,"bug, grass",effect-spore; dry-skin; damp,35,70,55,45,55,25,285,False,3,54,57
47,parasect,1,"bug, grass",effect-spore; dry-skin; damp,60,95,80,60,80,30,405,False,10,295,142
48,venonat,1,"bug, poison",compound-eyes; tinted-lens; run-away,60,55,50,40,55,45,305,False,10,300,61
49,venomoth,1,"bug, poison",shield-dust; tinted-lens; wonder-skin,70,65,60,90,75,90,450,False,15,125,158
50,diglett,1,ground,sand-veil; arena-trap; sand-force,10,55,25,35,45,95,265,False,2,8,53
51,dugtrio,1,ground,sand-veil; arena-trap; sand-force,35,100,50,50,70,120,425,False,7,333,149
52,meowth,1,normal,pickup; technician; unnerve,40,45,35,40,40,90,290,False,4,42,58
53,persian,1,normal,limber; technician; unnerve,65,70,60,65,65,115,440,False,10,320,154
54,psyduck,1,water,damp; cloud-nine; swift-swim,50,52,48,65,50,55,320,False,8,196,64
55,golduck,1,water,damp; cloud-nine; swift-swim,80,82,78,95,80,85,500,False,17,766,175
56,mankey,1,fighting,vital-spirit; anger-point; defiant,40,80,35,35,45,70,305,False,5,280,61
57,primeape,1,fighting,vital-spirit; anger-point; defiant,65,105,60,60,70,95,455,False,10,320,159
58,growlithe,1,fire,intimidate; flash-fire; justified,55,70,45,70,50,60,350,False,7,190,70
59,arcanine,1,fire,intimidate; flash-fire; justified,90,110,80,100,80,95,555,False,19,1550,194
60,poliwag,1,water,water-absorb; damp; swift-swim,40,50,40,40,40,90,300,False,6,124,60
61,poliwhirl,1,water,water-absorb; damp; swift-swim,65,65,65,50,50,90,385,False,10,200,135
62,poliwrath,1,"water, fighting",water-absorb; damp; swift-swim,90,95,95,70,90,70,510,False,13,540,230
63,abra,1,psychic,synchronize; inner-focus; magic-guard,25,20,15,105,55,90,310,False,9,195,62
64,kadabra,1,psychic,synchronize; inner-focus; magic-guard,40,35,30,120,70,105,400,False,13,565,140
65,alakazam,1,psychic,synchronize; inner-focus; magic-guard,55,50,45,135,95,120,500,False,15,480,225
66,machop,1,fighting,guts; no-guard; steadfast,70,80,50,35,35,35,305,False,8,195,61
67,machoke,1,fighting,guts; no-guard; steadfast,80,100,70,50,60,45,405,False,15,705,142
68,machamp,1,fighting,guts; no-guard; steadfast,90,130,80,65,85,55,505,False,16,1300,227
69,bellsprout,1,"grass, poison",chlorophyll; gluttony,50,75,35,70,30,40,300,False,7,40,60
70,weepinbell,1,"grass, poison",chlorophyll; gluttony,65,90,50,85,45,55,390,False,10,64,137
71,victreebel,1,"grass, poison",chlorophyll; gluttony,80,105,65,100,70,70,490,False,17,155,221
72,tentacool,1,"water, poison",clear-body; liquid-ooze; rain-dish,40,40,35,50,100,70,335,False,9,455,67
73,tentacruel,1,"water, poison",clear-body; liquid-ooze; rain-dish,80,70,65,80,120,100,515,False,16,550,180
74,geodude,1,"rock, ground",rock-head; sturdy; sand-veil,40,80,100,30,30,20,300,False,4,200,60
75,graveler,1,"rock, ground",rock-head; sturdy; sand-veil,55,95,115,45,45,35,390,False,10,1050,137
76,golem,1,"rock, ground",rock-head; sturdy; sand-veil,80,120,130,55,65,45,495,False,14,3000,223
77,ponyta,1,fire,run-away; flash-fire; flame-body,50,85,55,65,65,90,410,False,10,300,82
78,rapidash,1,fire,run-away; flash-fire; flame-body,65,100,70,80,80,105,500,False,17,950,175
79,slowpoke,1,"water, psychic",oblivious; own-tempo; regenerator,90,65,65,40,40,15,315,False,12,360,63
80,slowbro,1,"water, psychic",oblivious; own-tempo; regenerator,95,75,110,100,80,30,490,False,16,785,172
81,magnemite,1,"electric, steel",magnet-pull; sturdy; analytic,25,35,70,95,55,45,325,False,3,60,65
82,magneton,1,"electric, steel",magnet-pull; sturdy; analytic,50,60,95,120,70,70,465,False,10,600,163
83,farfetchd,1,"normal, flying",keen-eye; inner-focus; defiant,52,90,55,58,62,60,377,False,8,150,132
84,doduo,1,"normal, flying",run-away; early-bird; tangled-feet,35,85,45,35,35,75,310,False,14,392,62
85,dodrio,1,"normal, flying",run-away; early-bird; tangled-feet,60,110,70,60,60,110,470,False,18,852,165
86,seel,1,water,thick-fat; hydration; ice-body,65,45,55,45,70,45,325,False,11,900,65
87,dewgong,1,"water, ice",thick-fat; hydration; ice-body,90,70,80,70,95,70,475,False,17,1200,166
